x,y,end_x,end_y,playername,goal_id,pass_id,scorer,time,match_date,match_opponent
104.4,66,84.8,47.8,Nahuel Molina Lucero,7,41,Julián Álvarez,00:21:57.855,2022-11-30,Poland
84.8,47.8,82.6,45.1,Leandro Daniel Paredes,7,42,Julián Álvarez,00:21:57.855,2022-11-30,Poland
82.6,45.1,87.8,50.6,Leandro Daniel Paredes,7,43,Julián Álvarez,00:21:57.855,2022-11-30,Poland
87.8,50.6,87.1,51.9,Alexis Mac Allister,7,44,Julián Álvarez,00:21:57.855,2022-11-30,Poland
87.1,51.9,92.9,64.5,Alexis Mac Allister,7,45,Julián Álvarez,00:21:57.855,2022-11-30,Poland
92.9,64.5,95.2,64.5,Rodrigo Javier De Paul,7,46,Julián Álvarez,00:21:57.855,2022-11-30,Poland
95.2,64.5,86.9,58.1,Rodrigo Javier De Paul,7,47,Julián Álvarez,00:21:57.855,2022-11-30,Poland
86.9,58.1,87.3,55.3,Alexis Mac Allister,7,48,Julián Álvarez,00:21:57.855,2022-11-30,Poland
87.3,55.3,78.3,41.4,Alexis Mac Allister,7,49,Julián Álvarez,00:21:57.855,2022-11-30,Poland
78.3,41.4,77.1,38.2,Leandro Daniel Paredes,7,50,Julián Álvarez,00:21:57.855,2022-11-30,Poland
77.1,38.2,86,22.6,Leandro Daniel Paredes,7,51,Julián Álvarez,00:21:57.855,2022-11-30,Poland
86,22.6,97.4,29.5,Enzo Fernandez,7,52,Julián Álvarez,00:21:57.855,2022-11-30,Poland
97.4,29.5,103.6,29.5,Enzo Fernandez,7,53,Julián Álvarez,00:21:57.855,2022-11-30,Poland
103.6,29.5,106,33.5,Julián Álvarez,7,54,Julián Álvarez,00:21:57.855,2022-11-30,Poland
106,33.5,120,43.3,Julián Álvarez,7,55,Julián Álvarez,00:21:57.855,2022-11-30,Poland
7,36.1,35.7,44.2,Damián Emiliano Martínez,8,1,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
50.9,51.7,64.8,74.8,Enzo Fernandez,8,2,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
64.8,74.8,69.8,75.4,Nahuel Molina Lucero,8,3,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
69.8,75.4,76.6,78.3,Nahuel Molina Lucero,8,4,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
76.6,78.3,80.2,77.7,Ángel Fabián Di María Hernández,8,5,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
80.2,77.7,72,72.3,Ángel Fabián Di María Hernández,8,6,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
72,72.3,74.1,69.8,Lionel Andrés Messi Cuccittini,8,7,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
74.1,69.8,81,58.2,Lionel Andrés Messi Cuccittini,8,8,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
81,58.2,82.7,63.3,Enzo Fernandez,8,9,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
82.7,63.3,90.6,76,Enzo Fernandez,8,10,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
90.6,76,97.4,68.5,Ángel Fabián Di María Hernández,8,11,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
97.4,68.5,93.3,37.6,Ángel Fabián Di María Hernández,8,12,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
93.3,37.6,94.9,37.4,Lionel Andrés Messi Cuccittini,8,13,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
94.9,37.4,120,43.7,Lionel Andrés Messi Cuccittini,8,14,Lionel Andrés Messi Cuccittini,00:18:32.183,2022-11-26,Mexico
120,0.1,110.9,7.8,Rodrigo Javier De Paul,9,1,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
110.9,7.8,108.9,8.8,Lionel Andrés Messi Cuccittini,9,2,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
108.9,8.8,100.7,17.3,Lionel Andrés Messi Cuccittini,9,3,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
100.7,17.3,105.3,23.9,Enzo Fernandez,9,4,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
105.3,23.9,106.5,22.8,Enzo Fernandez,9,5,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
106.5,22.8,120,43.1,Enzo Fernandez,9,6,Enzo Fernandez,00:41:39.636,2022-11-26,Mexico
33.9,36.1,34.3,36.3,Lionel Andrés Messi Cuccittini,10,1,Julián Álvarez,00:38:26.300,2022-12-13,Croatia
55.7,30.1,102.3,36.7,Julián Álvarez,10,2,Julián Álvarez,00:38:26.300,2022-12-13,Croatia
111,36.5,112.7,37.4,Julián Álvarez,10,3,Julián Álvarez,00:38:26.300,2022-12-13,Croatia
112.7,37.4,120,36.8,Julián Álvarez,10,4,Julián Álvarez,00:38:26.300,2022-12-13,Croatia
42.5,80,63.6,76.2,Nahuel Molina Lucero,11,1,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
64.1,76.4,65.3,79.1,Julián Álvarez,11,2,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
65.3,79.1,68.5,77.6,Lionel Andrés Messi Cuccittini,11,3,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
68.5,77.6,116.1,59.6,Lionel Andrés Messi Cuccittini,11,4,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
116.1,59.6,116.9,53.1,Lionel Andrés Messi Cuccittini,11,5,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
116.9,53.1,113.3,45.4,Lionel Andrés Messi Cuccittini,11,6,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
113.3,45.4,120,40.3,Julián Álvarez,11,7,Julián Álvarez,00:23:46.955,2022-12-13,Croatia
